scenario,day_hkt,net_pnl_usd
0pct_costless,2026-04-02,-0.5027666135
0pct_costless,2026-04-03,0.0428885885
0pct_costless,2026-04-04,0.0000000000
0pct_costless,2026-04-05,0.0000000000
0pct_costless,2026-04-06,0.0000000000
0pct_costless,2026-04-07,-0.1948564225
0pct_costless,2026-04-08,-0.0263077062
0pct_costless,2026-04-09,-0.1868831480
0pct_costless,2026-04-10,0.0644057236
0pct_costless,2026-04-11,-0.0658519781
2pct_round_trip,2026-04-02,-0.5374984174
2pct_round_trip,2026-04-03,-0.0857016776
2pct_round_trip,2026-04-04,0.0000000000
2pct_round_trip,2026-04-05,0.0000000000
2pct_round_trip,2026-04-06,0.0000000000
2pct_round_trip,2026-04-07,-0.3190240036
2pct_round_trip,2026-04-08,-0.1163351483
2pct_round_trip,2026-04-09,-0.2731772170
2pct_round_trip,2026-04-10,-0.0092339901
2pct_round_trip,2026-04-11,-0.0894378942
5pct_round_trip,2026-04-02,-0.5895606953
5pct_round_trip,2026-04-03,-0.2776697874
5pct_round_trip,2026-04-04,0.0000000000
5pct_round_trip,2026-04-05,0.0000000000
5pct_round_trip,2026-04-06,0.0000000000
5pct_round_trip,2026-04-07,-0.4446139979
5pct_round_trip,2026-04-08,-0.2827894232
5pct_round_trip,2026-04-09,-0.4000649774
5pct_round_trip,2026-04-10,-0.1169853859
5pct_round_trip,2026-04-11,-0.1238874440
