date,symbol,entryPrice,exitPrice,pnl,solIn,heldMin,exitReason
2026-03-29T14:34:12.034Z,LetGo,3.691e-7,3.3025591614949586e-7,-10.52%,0.015 SOL,1.0min,Rapid bleed -10.5%
2026-03-29T15:15:21.009Z,MEMEHUB,0.000003328,0.000003092887919725977,-7.06%,0.015 SOL,0.8min,Rapid bleed -7.1%
2026-03-29T16:19:58.869Z,TORA,8.633e-7,8.038013654436273e-7,-6.89%,0.015 SOL,1.5min,Rapid bleed -6.9%
2026-03-29T16:35:58.923Z,Hyena,5.3e-7,4.6348853484739585e-7,-12.55%,0.015 SOL,0.9min,Stop loss -12.5%
2026-03-29T17:50:29.198Z,LDAR,0.000001198,0.000001109763307865211,-7.37%,0.015 SOL,0.2min,Rapid bleed -7.4%
2026-03-29T18:31:29.343Z,kek,5.07e-7,4.6429708026000644e-7,-8.42%,0.015 SOL,4.4min,Rapid bleed -8.4%
2026-03-29T19:21:59.480Z,RAM,4.205e-7,3.9370854402626036e-7,-6.37%,0.015 SOL,4.0min,Rapid bleed -6.4%
2026-03-29T21:28:55.947Z,Jesus,3.436e-7,2.8969374180611354e-7,-15.69%,0.015 SOL,1.1min,Stop loss -15.7%
2026-03-29T21:39:46.000Z,WhiteWolf,0.000001398,0.0000013059184041267023,-6.59%,0.015 SOL,5.7min,Rapid bleed -6.6%
2026-03-29T21:44:06.015Z,MEMEBOOBS,5.004e-7,4.130835371665479e-7,-17.45%,0.015 SOL,0.4min,Stop loss -17.4%
2026-03-29T22:44:26.170Z,KITNAPPED,5.925e-7,4.1977045159512773e-7,-29.15%,0.015 SOL,0.1min,Stop loss -29.2%
2026-03-29T23:57:03.212Z,SUGMI,7.164e-7,8.429496740365663e-7,17.66%,0.015 SOL,0.5min,TP1 +17.7%
2026-03-29T23:57:33.195Z,SUGMI,7.164e-7,8.634325723364093e-7,20.52%,0.015 SOL,1.0min,TP2 +20.5%
2026-03-30T00:00:43.195Z,SUGMI,7.164e-7,0.0000011110249662217399,55.08%,0.015 SOL,4.2min,TP3 +55.1%
2026-03-30T02:14:33.625Z,JDWOID,0.0000138,0.0000015871840317436808,-88.50%,0.015 SOL,12.0min,Stop loss -88.5%
2026-03-30T03:38:04.075Z,Ahh,5.276e-7,5.078150011537557e-7,-3.75%,0.015 SOL,0.1min,Fast dump -3.7%
2026-03-30T03:57:44.064Z,PAWEE,0.000001911,0.000001806850514635489,-5.45%,0.015 SOL,0.0min,Fast dump -5.4%
2026-03-30T04:34:14.151Z,BOOBE,0.000004534,0.000004278917171980968,-5.63%,0.015 SOL,0.4min,Fast dump -6.2%
2026-03-30T05:58:14.389Z,日本化,5.666e-7,4.635354615506806e-7,-18.19%,0.015 SOL,0.6min,Fast dump -17.3%
2026-03-30T05:58:44.389Z,kek,0.000001452,0.000001712024162054429,17.91%,0.015 SOL,1.0min,TP1 +17.9%
2026-03-30T05:59:14.387Z,kek,0.000001452,0.0000017907032145302776,23.33%,0.015 SOL,1.5min,TP2 +23.3%
2026-03-30T06:00:24.394Z,kek,0.000001452,0.0000017471754969510418,20.33%,0.015 SOL,2.6min,Fast dump -5.1%
2026-03-30T12:43:55.572Z,DogeChan,5.941e-7,5.98377520029121e-7,0.72%,0.015 SOL,1.7min,Fast dump -3.3%
2026-03-30T15:09:44.690Z,1 SOL,5.122e-7,5.124595160106771e-7,0.05%,0.015 SOL,1.3min,Fast dump -5.5%
2026-03-30T16:03:07.248Z,Anime,7.108e-7,7.826666207016e-7,10.11%,0.015 SOL,2.1min,TP1 +10.1%
2026-03-30T16:04:27.283Z,Anime,7.108e-7,8.646035861268276e-7,21.64%,0.015 SOL,3.5min,TP2 +21.6%
2026-03-30T16:05:57.245Z,Anime,7.108e-7,9.084655917590921e-7,27.81%,0.015 SOL,5.0min,Fast dump -5.6%
2026-03-30T19:54:01.215Z,DOOMER,6.959e-7,6.647422402626308e-7,-4.48%,0.015 SOL,0.2min,Fast dump -4.4%
2026-03-30T23:15:04.530Z,MMI6900,0.01,4.0000000000000003e-7,-100.00%,0.01 SOL,0.3min,Stop loss -100.0%
2026-03-30T23:15:27.820Z,MMI6900,0.01,8.000000000000001e-7,-99.99%,0.01 SOL,0.7min,Stop loss -100.0%
2026-03-31T01:45:22.956Z,DOGHEAD,2.699e-7,2.3430918671243507e-7,-13.19%,0.015 SOL,3.6min,Stop loss -13.2%
2026-03-31T02:29:22.971Z,MOONERS,0.000001819,0.0000016583095540514096,-8.83%,0.015 SOL,2.8min,Rapid bleed -8.8%
2026-03-31T02:55:53.111Z,Mark,5.829e-7,5.468340351844425e-7,-6.19%,0.015 SOL,0.0min,Rapid bleed -6.2%
2026-03-31T03:31:13.137Z,パンチ,4.924e-7,5.675861988302474e-7,15.27%,0.015 SOL,2.3min,TP1 +15.3%
2026-03-31T03:32:33.139Z,パンチ,4.924e-7,5.059792980049062e-7,2.76%,0.015 SOL,3.6min,Trail -16.5% from peak
2026-03-31T03:51:23.207Z,Praying,0.000001285,0.0000011941933385479777,-7.07%,0.015 SOL,1.1min,Rapid bleed -7.1%
2026-03-31T03:53:53.204Z,CAPULET,9.278e-7,8.716557309766948e-7,-6.05%,0.015 SOL,0.4min,Rapid bleed -6.1%
2026-03-31T04:58:43.398Z,パンチ,4.501e-7,3.8948053283738317e-7,-13.47%,0.015 SOL,14.5min,Stop loss -13.5%
2026-03-31T13:43:07.106Z,BIP360,6.052e-7,5.424044496821771e-7,-10.38%,0.015 SOL,1.0min,Rapid bleed -10.4%
2026-03-31T14:10:37.283Z,Moon ,5.456e-7,6.593612378537891e-7,20.85%,0.015 SOL,0.8min,TP1 +20.9%
2026-03-31T14:24:07.184Z,Moon ,5.456e-7,6.530165184462421e-7,19.69%,0.015 SOL,14.3min,Trail -15.3% from peak
2026-03-31T14:44:27.605Z,SAFEPUMP,5.563e-7,6.447887870569788e-7,15.91%,0.015 SOL,0.2min,TP1 +15.9%
2026-03-31T14:47:17.261Z,SLOF,0.000001098,0.0000010834771268042363,-1.32%,0.015 SOL,30.1min,Time stop 30.1min
2026-03-31T14:49:37.408Z,SAFEPUMP,5.563e-7,8.347528770136282e-7,50.05%,0.015 SOL,5.3min,TP2 +50.1%
2026-03-31T14:49:37.714Z,SLOTH,0.00000129,0.0000011532686076115728,-10.60%,0.015 SOL,0.3min,Rapid bleed -10.6%
2026-03-31T15:12:47.414Z,SAFEPUMP,7.847e-7,7.158870441085888e-7,-8.77%,0.015 SOL,2.9min,Rapid bleed -8.8%
2026-03-31T15:25:47.429Z,GODWHEEL,2.12e-7,2.2472000025767894e-10,-99.89%,0.015 SOL,0.1min,Stop loss -99.9%
2026-03-31T16:01:17.465Z,SIGMA,8.468e-7,0.0000010323564652260053,21.91%,0.015 SOL,2.1min,TP1 +21.9%
2026-03-31T16:01:27.618Z,MAYA,0.000001701,0.0000015707601092046543,-7.66%,0.015 SOL,0.4min,Rapid bleed -7.7%
2026-03-31T16:04:37.473Z,SIGMA,8.468e-7,0.0000012864021090965374,51.91%,0.015 SOL,5.4min,TP2 +51.9%
2026-03-31T16:15:06.119Z,BB,4.303e-7,4.962363035940228e-7,15.32%,0.015 SOL,0.7min,TP1 +15.3%
2026-03-31T16:15:46.136Z,BB,4.303e-7,4.068629943251749e-7,-5.45%,0.015 SOL,1.3min,Trail -18.1% from peak
2026-03-31T16:24:06.137Z,MAYA,0.000001792,0.000001564057602669325,-12.72%,0.015 SOL,1.0min,Stop loss -12.7%
2026-03-31T16:33:16.127Z,BB,3.356e-7,3.876247124000287e-7,15.50%,0.015 SOL,2.8min,TP1 +15.5%
2026-03-31T16:36:46.197Z,BB,3.356e-7,5.255309564898327e-7,56.59%,0.015 SOL,6.3min,TP2 +56.6%
